Company,Ticker,DATE,EPS_MEAN_EST,EPS_ACT,EPS_STD_EST,FISC_YEAR,FISC_QTR,CAL_YEAR,CAL_QTR,ACT_RPT_CODE,SALES_ACT,SALES_MEAN_EST,SALES_AMT_DIFF_SURP,SALES_PCT_DIFF_SURP,SALES_STD_DEV_EST
Parker-Hannifin Corp,PH,10/22/15,1.45,1.52,0.05,2016,1,2015,3,BTO,2869.348,2901.402,-32.054,-1.104,36.798
Patterson Cos Inc,PDCO,11/24/15,0.6,0.56,0.02,2016,2,2015,4,BTO,1142.87,1180.7,-37.83,-3.204,45.624
PayPal Holdings Inc.,PYPL,10/28/15,0.24,0.26,0.02,2015,3,2015,3,AMC,2258,2264.247,-6.247,-0.275,31.137
Pentair PLC,PNR,10/20/15,0.94,0.97,0.04,2015,3,2015,3,BTO,1552.1,1595.283,-43.183,-2.706,22.713
People's United Financial Inc,PBCT,10/15/15,0.22,0.23,0,2015,3,2015,3,AMC,357,325.08,-3.18,-0.978,3.972
PepsiCo Inc,PEP,10/6/15,1.26,1.35,0.03,2015,3,2015,3,BTO,16331,16190.931,140.069,0.865,165.382
PerkinElmer Inc,PKI,11/5/15,0.6,0.66,0.01,2015,3,2015,3,AMC,563.436,554.763,8.673,1.563,4.335
Perrigo Company plc,PRGO,10/22/15,1.74,1.76,0.07,2015,3,2015,3,BTO,1344.7,1424.781,-80.081,-5.62,39.272
Pfizer Inc,PFE,10/27/15,0.51,0.6,0.02,2015,3,2015,3,BTO,12087,11491.652,595.348,5.18,293.86
Philip Morris International,PM,10/15/15,1.11,1.24,0.03,2015,3,2015,3,BTO,19422,6748.25,178.75,2.648,216.904
Phillips 66,PSX,10/30/15,2.27,3.02,0.05,2015,3,2015,3,BTO,26417,32869.99,-6452.99,-19.631,3693.911
Pioneer Natural Resources,PXD,11/2/15,-0.07,-0.01,0.07,2015,3,2015,3,AMC,2218,766.73,116.27,15.164,130.715
Plum Creek Timber Co,PCL,10/26/15,0.51,0.58,0.02,2015,3,2015,3,AMC,414,434,-20,-4.608,5.656
Praxair Inc,PX,10/29/15,1.44,1.46,0.02,2015,3,2015,3,BTO,2686,2729.365,-43.365,-1.588,65.782
Principal Financial Group,PFG,10/22/15,1.07,1.06,0.03,2015,3,2015,3,AMC,3235.7,2770.333,465.367,16.798,175.682
ProLogis Inc,PLD,10/20/15,0.58,0.58,0.01,2015,3,2015,3,BTO,580.622,536.809,43.813,8.161,37.378
Procter & Gamble,PG,10/23/15,0.94,0.98,0.02,2016,1,2015,3,BTO,16527,16997.405,-470.405,-2.767,220.409
Progressive Corp,PGR,10/16/15,0.48,0.49,0.02,2015,3,2015,3,BTO,5273.8,5264.75,25.75,0.489,88.778
Prudential Financial Inc,PRU,11/4/15,2.43,2.4,0.03,2015,3,2015,3,AMC,11078,11099.333,-1573.333,-14.175,689.93
Public Service Enterprise Grp,PEG,10/30/15,0.79,0.8,0.04,2015,3,2015,3,BTO,2688,2597.655,90.345,3.477,57.494
Public Storage,PSA,10/28/15,2.25,2.27,0.03,2015,3,2015,3,AMC,618.872,614.892,3.98,0.647,4.984
Pulte Group Inc,PHM,10/22/15,0.43,0.33,0.02,2015,3,2015,3,BTO,1506.747,1730.16,-223.413,-12.912,45.16
QUALCOMM Inc,QCOM,11/4/15,0.71,0.79,0.03,2015,4,2015,3,AMC,5456,5209.651,246.349,4.728,102.943
"Qorvo, Inc",QRVO,11/5/15,0.85,0.98,0.02,2016,2,2015,3,AMC,708.335,700.187,8.148,1.163,2.389
Quanta Services Inc,PWR,11/5/15,0.26,0.27,0.01,2015,3,2015,3,BTO,1939.438,1956.707,-17.269,-0.882,71.972
Quest Diagnostics,DGX,10/22/15,1.27,1.28,0.02,2015,3,2015,3,BTO,1880,1890.68,-10.68,-0.564,8.613
Ralph Lauren Corp A,RL,11/5/15,1.73,1.86,0.05,2016,2,2015,3,BTO,1970,1965.905,4.095,0.208,1.548
Range Resources Corp,RRC,10/28/15,-0.14,-0.05,0.09,2015,3,2015,3,AMC,479.252,392.438,23.425,5.969,53.848
Raytheon Co,RTN,10/22/15,1.4,1.47,0.03,2015,3,2015,3,BTO,5783,5801,-18,-0.31,41.593
Realty Income Corp,O,10/28/15,0.7,0.7,0.01,2015,3,2015,3,AMC,258.889,254.164,4.725,1.859,11.276
Red Hat Inc,RHT,9/21/15,0.29,0.34,0,2016,2,2015,3,AMC,504.148,494.778,9.37,1.893,1.545
Regeneron Pharmaceuticals Inc,REGN,11/4/15,2.62,2.59,0.19,2015,3,2015,3,BTO,1137.422,1056.245,81.177,7.685,34.628
Regions Financial Corp,RF,10/20/15,0.2,0.19,0.01,2015,3,2015,3,BTO,1398,1353.175,-20.175,-1.49,39.028
Republic Services Inc,RSG,10/29/15,0.53,0.53,0.01,2015,3,2015,3,AMC,2344,2337.66,6.34,0.271,13.64
Reynolds American Inc,RAI,10/27/15,0.55,0.55,0.01,2015,3,2015,3,BTO,3161,3114,47,1.509,52.325
Robert Half Intl Inc,RHI,10/21/15,0.73,0.73,0.01,2015,3,2015,3,AMC,1312.718,1320.64,-7.922,-0.599,1.877
Rockwell Automation Inc,ROK,11/10/15,1.78,1.57,0.05,2015,4,2015,3,BTO,1607.5,1686.602,-79.102,-4.69,24.569
Rockwell Collins,COL,10/30/15,1.41,1.38,0.02,2015,4,2015,3,BTO,1384,1399.65,-15.65,-1.118,24.264
"Roper Technologies, Inc",ROP,10/26/15,1.57,1.61,0.01,2015,3,2015,3,BTO,883.933,893.584,-9.651,-1.08,12.333
Ross Stores Inc,ROST,11/19/15,0.5,0.53,0.01,2016,3,2015,4,AMC,2782.855,2764.654,18.201,0.658,23.553
Royal Caribbean Cruises Ltd,RCL,10/23/15,2.7,2.84,0.02,2015,3,2015,3,BTO,2523.1,2530.791,-7.691,-0.303,15.013
Ryder System Inc,R,10/22/15,1.72,1.74,0.02,2015,3,2015,3,BTO,1669.1,1716.983,-47.883,-2.788,24.28
SL Green Realty Corp,SLG,10/21/15,1.57,1.71,0.02,2015,3,2015,3,AMC,432.066,340.887,-22.422,-6.577,29.381
Salesforce.com,CRM,8/20/15,0.05,0.05,0.01,2016,2,2015,3,AMC,1634.684,1598.616,36.068,2.256,5.509
SanDisk Corp,SNDK,10/21/15,0.65,0.98,0.02,2015,3,2015,3,BTO,1452.285,1403.918,48.367,3.445,9.799
Schein Henry Inc,HSIC,11/4/15,1.46,1.55,0.01,2015,3,2015,3,BTO,2685.835,2676.569,9.266,0.346,29.52
Schlumberger Ltd,SLB,10/15/15,0.76,0.78,0.02,2015,3,2015,3,AMC,8472,8555.656,-83.656,-0.977,97.03
Schwab Charles Corp,SCHW,10/15/15,0.26,0.27,0.01,2015,3,2015,3,BTO,1597,1584.833,12.167,0.767,11.107
Scripps Networks Interactive A,SNI,11/9/15,0.97,1.06,0.04,2015,3,2015,3,BTO,776.122,763.653,12.469,1.632,7.116
Seagate Technology,STX,10/30/15,0.49,0.54,0.03,2016,1,2015,3,BTO,2925,2912.75,12.25,0.42,18.892
