Company,Ticker,DATE,EPS_MEAN_EST,EPS_ACT,EPS_STD_EST,FISC_YEAR,FISC_QTR,CAL_YEAR,CAL_QTR,ACT_RPT_CODE,SALES_ACT,SALES_MEAN_EST,SALES_AMT_DIFF_SURP,SALES_PCT_DIFF_SURP,SALES_STD_DEV_EST
3M Co,MMM,10/22/15,2.01,2.05,0.04,2015,3,2015,3,BTO,7712,7895.318,-183.318,-2.321,141.242
AFLAC Inc,AFL,10/27/15,1.48,1.56,0.02,2015,3,2015,3,AMC,5040,5111.017,-71.017,-1.389,26.515
AMETEK Inc,AME,10/27/15,0.65,0.65,0.01,2015,3,2015,3,BTO,998.527,1035.039,-36.512,-3.527,1.505
AT&T Inc,T,10/22/15,0.68,0.74,0.03,2015,3,2015,3,AMC,39091,40991.71,-1900.71,-4.636,1639.008
AbbVie Inc.,ABBV,10/30/15,1.07,1.13,0.01,2015,3,2015,3,BTO,5944,5894.412,49.588,0.841,88.736
Abbott Laboratories,ABT,10/21/15,0.53,0.54,0.01,2015,3,2015,3,BTO,5150,5145.422,4.578,0.088,55.782
Accenture plc A,ACN,12/17/15,1.31,1.28,0.02,2016,1,2015,4,BTO,8364.511,7648.131,240.374,3.142,66.606
Activision Blizzard Inc,ATVI,11/2/15,0.13,0.18,0,2015,3,2015,3,AMC,990,946.666,93.334,9.859,15.396
Adobe Systems Inc,ADBE,9/17/15,0.35,0.39,0.03,2015,3,2015,3,AMC,1217.768,1210.377,7.391,0.61,11.098
Advance Auto Parts Inc,AAP,11/12/15,2.06,1.95,0.09,2015,3,2015,3,BTO,2295.203,2327.099,-31.896,-1.37,7.327
Aetna Inc,AET,10/29/15,1.78,1.9,0.04,2015,3,2015,3,BTO,14953,15160.003,-173.903,-1.147,191.406
Affiliated Managers Grp,AMG,11/9/15,2.87,2.93,0.03,2015,3,2015,3,BTO,613.1,631.458,-18.358,-2.907,8.368
Air Products & Chemicals Inc,APD,10/29/15,1.8,1.82,0.03,2015,4,2015,3,BTO,2449.4,2560.565,-111.165,-4.341,52.269
Airgas Inc,ARG,10/27/15,1.29,1.31,0.01,2016,2,2015,3,BTO,1374.569,1383.501,-8.932,-0.645,14.379
Akamai Technologies Inc,AKAM,10/27/15,0.47,0.53,0.01,2015,3,2015,3,AMC,551.03,549.655,1.375,0.25,3.105
Alcoa Inc,AA,10/8/15,0.14,0.07,0.02,2015,3,2015,3,AMC,5573,5670.433,-97.433,-1.718,43.697
Alexion Pharmaceuticals Inc,ALXN,10/29/15,0.78,0.93,0.06,2015,3,2015,3,BTO,666.637,667.355,-0.718,-0.107,4.717
Allegion plc,ALLE,10/29/15,0.77,0.92,0.02,2015,3,2015,3,BTO,544.5,532.775,11.725,2.2,6.845
Allergan plc,AGN,11/4/15,3.2,3.48,0.12,2015,3,2015,3,BTO,4088.9,4091.6,-6.4,-0.156,0
Alliance Data Systems Corp,ADS,10/22/15,3.68,3.73,0.03,2015,3,2015,3,BTO,1589.1,1561.651,27.449,1.757,33.783
Allstate Corp,ALL,11/2/15,1.32,1.52,0.1,2015,3,2015,3,AMC,9028,7957.2,1037.8,13.042,76.929
Alphabet Inc A,GOOGL,10/22/15,5.87,5.73,0.29,2015,3,2015,3,AMC,18675,15087.368,21.632,0.143,214.087
Altria Group Inc,MO,10/29/15,0.76,0.75,0.01,2015,3,2015,3,BTO,6699,4977.5,-619.5,-12.446,65.76
Amazon.com Inc,AMZN,10/22/15,-0.1,0.17,0.21,2015,3,2015,3,AMC,25358,24851.269,506.731,2.039,353.079
American Airlines Group Inc.,AAL,10/23/15,2.72,2.77,0.07,2015,3,2015,3,BTO,10706,10723.38,-17.38,-0.162,35.332
American Express Co,AXP,10/21/15,1.31,1.24,0.02,2015,3,2015,3,AMC,8193,8382.421,-189.421,-2.259,174.637
American Intl Group Inc,AIG,11/2/15,1.03,0.52,0.14,2015,3,2015,3,AMC,12822,13060,104,0.796,0
American Tower Corp A,AMT,10/29/15,1.24,1.31,0.02,2015,3,2015,3,BTO,1237.91,1215.652,22.258,1.83,15.78
Ameriprise Financial Inc,AMP,10/21/15,2.34,2.35,0.06,2015,3,2015,3,AMC,2886,2987,-101,-3.381,0
AmerisourceBergen Corp,ABC,10/29/15,1.18,1.17,0.02,2015,4,2015,3,BTO,35470.38,34433.91,1036.47,3.01,532.905
Amgen Inc,AMGN,10/28/15,2.38,2.72,0.07,2015,3,2015,3,AMC,5723,5312.938,410.062,7.718,64.549
Amphenol Corp A,APH,10/21/15,0.65,0.65,0,2015,3,2015,3,BTO,1459.6,1458.833,0.767,0.052,1.767
Anadarko Petroleum Corp,APC,10/27/15,-0.72,-0.72,0.05,2015,3,2015,3,AMC,1688,2266.516,-578.516,-25.524,178.945
Anthem Inc,ANTM,10/28/15,2.33,2.73,0.09,2015,3,2015,3,BTO,19901.6,19705.886,65.514,0.332,158.22
Aon plc,AON,10/30/15,1.23,1.24,0.02,2015,3,2015,3,BTO,2742,2847.35,-105.35,-3.699,68.348
Apache Corp,APA,11/5/15,-0.38,-0.05,0.13,2015,3,2015,3,BTO,1496,1588.523,-92.523,-5.824,77.232
Apartment Investment & Mgmt,AIV,11/3/15,0.57,0.57,0.01,2015,3,2015,3,AMC,246.387,239.043,7.344,3.072,3.248
Apple Inc.,AAPL,10/27/15,1.88,1.96,0.04,2015,4,2015,3,AMC,51501,50846.022,654.978,1.288,477.81
Applied Materials Inc,AMAT,8/13/15,0.33,0.33,0,2015,3,2015,3,AMC,2490,2537.57,-47.57,-1.874,5.35
Archer-Daniels-Midland Co,ADM,11/3/15,0.71,0.6,0.04,2015,3,2015,3,BTO,16565,17691,-1126,-6.364,1497.652
Assurant Inc,AIZ,10/27/15,1.53,1.71,0.12,2015,3,2015,3,AMC,2534.156,2084.922,439.788,21.093,193.315
AutoNation Inc,AN,10/28/15,1.05,1.05,0.03,2015,3,2015,3,BTO,5353.7,5365.108,-11.408,-0.212,65.31
Automatic Data Processing,ADP,10/28/15,0.65,0.68,0.02,2016,1,2015,3,BTO,2714,2718.26,-4.26,-0.156,19.665
Avago Technologies Ltd,AVGO,8/26/15,1.94,2.05,0.06,2015,3,2015,3,AMC,1735,1742.437,-7.437,-0.426,7.28
AvalonBay Communities Inc,AVB,10/26/15,2.03,2.02,0.04,2015,3,2015,3,AMC,475.36,466.022,9.338,2.003,6.389
Avery Dennison Corp,AVY,10/29/15,0.84,0.87,0.03,2015,3,2015,3,BTO,1468.1,1483.2,-15.1,-1.018,13.167
BB&T Corp,BBT,10/15/15,0.66,0.64,0.03,2015,3,2015,3,BTO,2638,2462.42,-10.42,-0.423,72.673
Baker Hughes Inc,BHI,10/21/15,-0.15,-0.05,0.04,2015,3,2015,3,BTO,3786,3794.312,-8.312,-0.219,71.886
Ball Corp,BLL,10/29/15,0.95,1.1,0.03,2015,3,2015,3,BTO,2097,2114.32,-17.32,-0.819,53.267
Bank of America Corp,BAC,10/14/15,0.34,0.37,0.03,2015,3,2015,3,BTO,23178,20748.625,-66.625,-0.321,786.018
Bard C.R. Inc,BCR,10/22/15,2.24,2.28,0.01,2015,3,2015,3,AMC,865.7,854.373,11.327,1.325,3.87
Baxalta Inc,BXLT,10/29/15,0.48,0.56,0.02,2015,3,2015,3,BTO,1595,1493.56,101.44,6.791,30.048
Baxter Intl Inc,BAX,10/27/15,0.29,0.41,0.01,2015,3,2015,3,BTO,2487,2458.154,28.846,1.173,6.095
Becton Dickinson & Co,BDX,11/4/15,1.9,1.94,0.01,2015,4,2015,3,BTO,3059,3057.291,1.709,0.055,46.597
Bed Bath & Beyond Inc,BBBY,9/24/15,1.21,1.21,0.01,2016,2,2015,3,AMC,2995.469,3032.562,-37.093,-1.223,11.101
Best Buy Co Inc,BBY,11/19/15,0.35,0.41,0.04,2016,3,2015,4,BTO,8819,8842.425,-23.425,-0.264,94.464
Biogen Inc,BIIB,10/21/15,3.83,4.48,0.25,2015,3,2015,3,BTO,2777.859,2663.252,114.607,4.303,73.494
BlackRock Inc,BLK,10/14/15,4.51,5,0.12,2015,3,2015,3,BTO,2910,2805.154,104.846,3.737,33.278
Block H & R Inc,HRB,9/1/15,-0.41,-0.35,0.02,2016,1,2015,3,AMC,137.718,136.441,1.277,0.935,0.392
Boeing Co,BA,10/21/15,2.22,2.52,0.08,2015,3,2015,3,BTO,25849,24744.2,1104.8,4.464,729.309
Borgwarner Inc,BWA,10/29/15,0.71,0.73,0.03,2015,3,2015,3,BTO,1884,1954.76,-70.76,-3.619,43.967
Boston Properties Inc,BXP,10/29/15,1.36,1.41,0.02,2015,3,2015,3,AMC,629.884,607.672,22.212,3.655,18.188
Boston Scientific Corp,BSX,10/28/15,0.23,0.24,0.01,2015,3,2015,3,BTO,1888,1856.47,31.53,1.698,37.078
Bristol-Myers Squibb,BMY,10/27/15,0.35,0.39,0.02,2015,3,2015,3,BTO,4069,3845.775,223.225,5.804,66.112
Broadcom Corp A,BRCM,10/26/15,0.73,0.77,0.01,2015,3,2015,3,AMC,2187,2135.9,51.1,2.392,2.176
Brown-Forman Corp B,BF.B,8/26/15,0.74,0.75,0.02,2016,1,2015,3,BTO,900,716.425,-17.425,-2.432,12.74
CA Inc,CA,10/21/15,0.51,0.52,0.02,2016,2,2015,3,AMC,1005,1012.683,-7.683,-0.758,10.555
CBRE Group Inc.,CBG,10/27/15,0.45,0.51,0.01,2015,3,2015,3,AMC,2712.559,2596.1,116.459,4.485,183.79
CBS Corp B,CBS,11/3/15,0.81,0.88,0.02,2015,3,2015,3,AMC,3257,3273.871,-16.871,-0.515,54.971
CF Industries Holdings,CF,11/4/15,0.74,0.49,0.06,2015,3,2015,3,AMC,927.4,923.5,3.9,0.422,86.914
CH Robinson Worldwide Inc,CHRW,10/27/15,0.93,0.96,0.02,2015,3,2015,3,AMC,3419.253,3569.622,-150.369,-4.212,43.776
CME Group Inc A,CME,10/29/15,0.98,1.02,0.03,2015,3,2015,3,BTO,850.3,850.862,-0.562,-0.066,4.451
CMS Energy Corp,CMS,10/29/15,0.49,0.53,0.03,2015,3,2015,3,BTO,1486,1457.5,28.5,1.955,17.677
CONSOL Energy Inc,CNX,10/27/15,-0.02,-0.28,0.06,2015,3,2015,3,BTO,813.938,718.846,95.092,13.228,52.537
CSX Corporation,CSX,10/13/15,0.5,0.52,0.01,2015,3,2015,3,AMC,2939,3038.215,-99.215,-3.265,85.285
CVS Health Corporation,CVS,10/30/15,1.29,1.28,0.01,2015,3,2015,3,BTO,38644,37761.335,882.665,2.337,736.07
Cablevision Systems Co A,CVC,11/3/15,0.22,0.2,0.03,2015,3,2015,3,AMC,1612.601,1640.765,-28.164,-1.716,9.262
Cabot Oil & Gas A,COG,10/23/15,0,-0.01,0.03,2015,3,2015,3,BTO,305.296,354.392,-49.096,-13.853,12.865
Cameron International Corp,CAM,10/22/15,0.81,1.18,0.02,2015,3,2015,3,BTO,2208,2169.305,38.695,1.783,33.658
Campbell Soup Co,CPB,9/3/15,0.42,0.43,0.03,2015,4,2015,3,BTO,1693,1709.357,-16.357,-0.956,75.143
Capital One Financial,COF,10/22/15,1.92,1.99,0.09,2015,3,2015,3,AMC,5900,5862.181,37.819,0.645,98.958
Cardinal Health Inc,CAH,11/2/15,1.1,1.38,0.05,2016,1,2015,3,BTO,28055,26947.963,1107.037,4.108,796
Carmax Inc,KMX,9/22/15,0.75,0.79,0.02,2016,2,2015,3,BTO,3884,3935.614,-51.614,-1.311,77.106
Caterpillar Inc,CAT,10/22/15,0.75,0.75,0.06,2015,3,2015,3,BTO,10962,11109.586,-147.586,-1.328,451.746
Centerpoint Energy Inc,CNP,11/5/15,0.3,0.34,0.02,2015,3,2015,3,BTO,1630,1801,-171,-9.494,0
CenturyLink Inc,CTL,11/4/15,0.69,0.7,0.05,2015,3,2015,3,AMC,4554,4551.616,2.384,0.052,62.601
Cerner Corp,CERN,11/3/15,0.51,0.5,0.01,2015,3,2015,3,AMC,1127.887,1172.663,-44.776,-3.818,11.571
Chesapeake Energy Corp,CHK,11/4/15,-0.13,-0.05,0.04,2015,3,2015,3,BTO,2893,899.798,-19.798,-2.2,43.438
Chipotle Mexican Grill Inc.,CMG,10/20/15,4.64,4.59,0.13,2015,3,2015,3,AMC,1216.89,1213.901,2.989,0.246,10.462
Church & Dwight Co,CHD,11/2/15,0.89,0.9,0.01,2015,3,2015,3,BTO,861.8,856.336,5.464,0.638,10.194
Cigna Corporation,CI,11/6/15,2.18,2.28,0.04,2015,3,2015,3,BTO,9389,9302.177,76.823,0.825,340.037
Cimarex Energy Co,XEC,11/3/15,-0.09,-0.15,0.08,2015,3,2015,3,AMC,356.055,355.988,0.067,0.018,27.766
Cintas Corp,CTAS,9/24/15,0.9,0.93,0.02,2016,1,2015,3,AMC,1198.89,1174.472,24.418,2.079,10.723
Cisco Systems Inc,CSCO,8/12/15,0.51,0.52,0.01,2015,4,2015,3,AMC,12843,12662.598,180.402,1.424,64.899
Citigroup Inc,C,10/15/15,1.29,1.31,0.06,2015,3,2015,3,BTO,21633,18759.6,-67.6,-0.36,411.449
Citrix Systems Inc,CTXS,10/21/15,0.67,0.87,0.05,2015,3,2015,3,AMC,813.27,785.921,27.349,3.479,2.436
Clorox Co,CLX,11/2/15,1.18,1.32,0.03,2016,1,2015,3,BTO,1390,1371.73,18.27,1.331,18.152
Coach Inc,COH,10/27/15,0.39,0.41,0.05,2016,1,2015,3,BTO,1030.3,1022.483,7.817,0.764,49.563
Coca-Cola Co,KO,10/21/15,0.5,0.51,0.01,2015,3,2015,3,BTO,11427,11608.441,-181.441,-1.563,128.502
Coca-Cola Enterprises,CCE,10/29/15,0.81,0.84,0.02,2015,3,2015,3,BTO,1822,1890.55,-68.55,-3.625,63.289
Cognizant Tech Solutions Corp,CTSH,11/4/15,0.7,0.67,0.01,2015,3,2015,3,BTO,3187,3162.715,24.285,0.767,19.76
Colgate-Palmolive Co,CL,10/30/15,0.72,0.72,0.01,2015,3,2015,3,BTO,3999,4086.588,-87.588,-2.143,55.757
Columbia Pipeline Group,CPGX,11/3/15,0.16,0.2,0.06,2015,3,2015,3,BTO,320.9,344.9,-24,-6.958,0
Comcast Corp A,CMCSA,10/27/15,0.8,0.8,0.03,2015,3,2015,3,BTO,18669,17969.252,699.748,3.894,149.336
Comerica Inc (MI),CMA,10/16/15,0.69,0.74,0.02,2015,3,2015,3,BTO,712,691.866,-5.866,-0.847,3.646
ConAgra Foods Inc,CAG,9/22/15,0.39,0.45,0.01,2016,1,2015,3,BTO,2793.8,3692.316,-898.516,-24.334,62.449
ConocoPhillips,COP,10/29/15,-0.38,-0.38,0.08,2015,3,2015,3,BTO,7507,8554.35,-1047.35,-12.243,1125.219
Consolidated Edison Inc,ED,11/5/15,1.48,1.44,0.03,2015,3,2015,3,AMC,3443,3733.25,-290.25,-7.774,0
Constellation Brands Inc A,STZ,10/7/15,1.31,1.56,0.05,2016,2,2015,3,BTO,1912.9,1727.3,6.1,0.353,15.2
Corning Inc,GLW,10/27/15,0.34,0.34,0.02,2015,3,2015,3,BTO,2272,2542.2,-91.2,-3.587,27.316
Costco Wholesale Corp,COST,9/29/15,1.66,1.73,0.03,2015,4,2015,3,AMC,35778,36278.3,-500.3,-1.379,799.354
Crown Castle Intl Corp,CCI,10/21/15,1.04,1.07,0.01,2015,3,2015,3,AMC,918.107,903.786,14.321,1.584,6.194
Cummins Inc,CMI,10/27/15,2.59,2.14,0.07,2015,3,2015,3,BTO,4620,4919.4,-299.4,-6.086,59.86
DTE Energy Co,DTE,10/23/15,1.22,1.4,0.05,2015,3,2015,3,BTO,2598,2617,-19,-0.726,41.012
DaVita HealthCare Partners Inc,DVA,11/3/15,0.97,1,0.04,2015,3,2015,3,AMC,3525.665,3475.728,49.937,1.436,56.698
Danaher Corp,DHR,10/22/15,1.04,1.05,0.02,2015,3,2015,3,BTO,5023.4,5075.435,-52.035,-1.025,98.678
Darden Restaurants Inc,DRI,9/22/15,0.58,0.68,0.03,2016,1,2015,3,BTO,1687,1675.528,11.472,0.684,11.128
Deere & Co,DE,8/21/15,1.47,1.53,0.07,2015,3,2015,3,BTO,7593.7,7108.916,-269.416,-3.789,300.888
Delphi Automotive PLC,DLPH,10/29/15,1.28,1.28,0.02,2015,3,2015,3,BTO,3631,3791.48,-160.48,-4.232,40.788
Delta Air Lines,DAL,10/14/15,1.71,1.74,0.03,2015,3,2015,3,BTO,11107,11117.68,-10.68,-0.096,76.55
Dentsply Intl,XRAY,10/28/15,0.63,0.66,0.02,2015,3,2015,3,BTO,648.9,662.696,-13.796,-2.081,3.254
Devon Energy Corp,DVN,11/3/15,0.57,0.76,0.07,2015,3,2015,3,AMC,3601,4034.852,-433.852,-10.752,123.593
Diamond Offshore Drilling,DO,11/2/15,0.61,1.01,0.09,2015,3,2015,3,BTO,609.742,600.953,8.789,1.462,20.989
Discover Financial Services,DFS,10/20/15,1.34,1.38,0.02,2015,3,2015,3,AMC,2511,1835,353,19.237,44.26
Discovery Communications Inc A,DISCA,11/3/15,0.39,0.47,0.02,2015,3,2015,3,BTO,1557,1559.5,-2.5,-0.16,11.676
Dollar General Corp,DG,8/27/15,0.94,0.95,0.01,2016,2,2015,3,BTO,5095.904,5140.107,-44.203,-0.859,17.044
Dollar Tree Inc,DLTR,9/1/15,0.67,0.25,0.04,2016,2,2015,3,BTO,3011.2,2667.967,343.233,12.864,433.783
Dominion Resources Inc,D,11/2/15,1.06,1.03,0.02,2015,3,2015,3,BTO,2971,3181,-210,-6.601,66.468
Dover Corp,DOV,10/20/15,1.06,1.14,0.03,2015,3,2015,3,BTO,1787.582,1808.878,-21.296,-1.177,35.456
Dow Chemical,DOW,10/22/15,0.68,0.82,0.05,2015,3,2015,3,BTO,12036,12251.853,-215.853,-1.761,77.222
Dr Pepper Snapple Group,DPS,10/22/15,1.04,1.08,0.02,2015,3,2015,3,BTO,1630,1598.018,31.982,2.001,5.458
Duke Energy Corp,DUK,11/5/15,1.52,1.47,0.03,2015,3,2015,3,BTO,6483,6595.26,-112.26,-1.702,0
Dun & Bradstreet Corp,DNB,11/2/15,1.67,1.84,0.1,2015,3,2015,3,AMC,406.2,420.325,-14.125,-3.36,5.065
E*TRADE Financial Corp,ETFC,10/22/15,0.29,0.33,0.01,2015,3,2015,3,AMC,73,445.387,-12.387,-2.781,7.844
E. I. du Pont de Nemours and Company,DD,10/27/15,0.1,0.13,0,2015,3,2015,3,BTO,4971,5220.1,-347.1,-6.649,26.069
EMC Corp,EMC,10/21/15,0.33,0.33,0.01,2015,3,2015,3,BTO,6079,6063,16,0.263,6.244
EOG Resources,EOG,11/5/15,-0.3,0.02,0.06,2015,3,2015,3,AMC,2172.4,2140.7,31.7,1.48,355.019
EQT Corporation,EQT,10/22/15,-0.22,-0.33,0.17,2015,3,2015,3,BTO,577.015,437.316,139.699,31.944,43.515
Eastman Chemical Co,EMN,10/29/15,1.82,1.84,0.06,2015,3,2015,3,AMC,2447,2565.733,-118.733,-4.627,67.814
Eaton Corp plc,ETN,10/30/15,0.97,0.97,0.01,2015,3,2015,3,BTO,5203,5335.995,-132.995,-2.492,82.452
Ecolab Inc,ECL,11/2/15,1.28,1.28,0.01,2015,3,2015,3,BTO,3446.4,3539.275,-92.875,-2.624,56.603
Edison Intl,EIX,10/27/15,1.1,1.19,0.25,2015,3,2015,3,AMC,3763,4630.5,-867.5,-18.734,458.912
Edwards Lifesciences Corp,EW,10/26/15,0.49,0.535,0.01,2015,3,2015,3,AMC,615.5,597.731,17.769,2.972,8.605
Electronic Arts,EA,10/29/15,0.33,0.52,0.02,2016,2,2015,3,AMC,815,1091.814,54.186,4.962,14.167
Emerson Electric Co,EMR,11/3/15,0.97,0.93,0.03,2015,4,2015,3,BTO,5814,5864.751,-50.751,-0.865,61.577
Endo International plc,ENDP,11/5/15,1,1.02,0.06,2015,3,2015,3,BTO,745.727,737.546,8.181,1.109,3.377
Ensco PLC - CL A,ESV,10/28/15,0.74,0.89,0.18,2015,3,2015,3,AMC,1012.2,899.228,112.972,12.563,39.078
Entergy Corp,ETR,11/2/15,1.93,1.9,0.16,2015,3,2015,3,BTO,3371.406,3576.84,-205.434,-5.743,0
Equifax Inc,EFX,10/21/15,1.1,1.14,0.01,2015,3,2015,3,AMC,667.4,666.084,1.316,0.197,2.843
Equinix Inc,EQIX,10/28/15,3.57,3.55,0.12,2015,3,2015,3,AMC,686.649,684.405,2.244,0.327,3.841
Equity Residential,EQR,10/26/15,0.88,0.87,0.01,2015,3,2015,3,BTO,696.289,691.973,4.316,0.623,9.23
Essex Property Trust,ESS,10/29/15,2.45,2.49,0.04,2015,3,2015,3,AMC,304.626,303.111,1.515,0.499,1.759
Estee Lauder Cos. A,EL,11/2/15,0.69,0.82,0.02,2016,1,2015,3,BTO,2834.7,2797.337,37.363,1.335,24.266
Eversource Energy,ES,11/2/15,0.75,0.75,0.02,2015,3,2015,3,AMC,1933.105,1940.95,-7.845,-0.404,33.163
Exelon Corp,EXC,10/30/15,0.71,0.83,0.01,2015,3,2015,3,BTO,7401,7130.62,270.38,3.791,0
Expedia,EXPE,10/29/15,1.91,1.59,0.17,2015,3,2015,3,AMC,1937.753,1953.884,-16.131,-0.825,34.404
Expeditors Intl of WA Inc,EXPD,11/3/15,0.59,0.62,0.02,2015,3,2015,3,BTO,1651.332,1809.446,-158.114,-8.738,64.039
Express Scripts Holding Co.,ESRX,10/27/15,1.44,1.45,0.01,2015,3,2015,3,AMC,25222.6,26332.671,-1110.071,-4.215,373.827
Exxon Mobil Corp,XOM,10/30/15,0.89,1.01,0.07,2015,3,2015,3,BTO,67344,68004,-660,-0.97,0
F5 Networks Inc,FFIV,10/28/15,1.4,1.4,0.04,2015,4,2015,3,AMC,501.301,505.903,-4.602,-0.909,2.121
FLIR Systems Inc,FLIR,10/28/15,0.42,0.4,0.02,2015,3,2015,3,BTO,381.928,392.262,-10.334,-2.634,2.903
FMC Corp,FMC,10/28/15,0.38,0.42,0,2015,3,2015,3,AMC,830.7,916.225,-85.525,-9.334,51.902
FMC Technologies Inc,FTI,10/20/15,0.59,0.61,0.02,2015,3,2015,3,AMC,1545,1680.056,-135.056,-8.038,44.804
Facebook Inc A,FB,11/4/15,0.35,0.36,0.02,2015,3,2015,3,AMC,4501,4386.746,114.254,2.604,33.219
Fastenal Co,FAST,10/13/15,0.46,0.47,0.01,2015,3,2015,3,BTO,995.25,1005.173,-9.923,-0.987,13.483
FedEx Corp,FDX,9/16/15,2.44,2.42,0.09,2016,1,2015,3,BTO,12279,12234.068,44.932,0.367,236.835
Fidelity National Information,FIS,11/3/15,0.91,0.9,0.02,2015,3,2015,3,BTO,1578.8,1638.787,-59.987,-3.66,7.414
Fifth Third Bancorp (OH),FITB,10/20/15,0.4,0.45,0.02,2015,3,2015,3,BTO,1744,1503.8,115.2,7.66,11.225
First Solar Inc,FSLR,10/29/15,1.55,3.38,0.19,2015,3,2015,3,AMC,1271.245,1096.655,174.59,15.92,60.202
FirstEnergy Corp,FE,10/29/15,0.86,0.97,0.06,2015,3,2015,3,AMC,4123,3931.11,191.89,4.881,240.26
Fiserv Inc,FISV,10/27/15,0.97,1.03,0.01,2015,3,2015,3,AMC,1313,1328.55,-15.55,-1.17,6.119
Flowserve Corp,FLS,10/29/15,0.78,0.81,0.02,2015,3,2015,3,AMC,1096.476,1100.351,-3.875,-0.352,35.924
Fluor Corp,FLR,10/29/15,1.13,1.21,0.06,2015,3,2015,3,AMC,4384.6,5216.39,-831.79,-15.945,238.88
Ford Motor Co,F,10/27/15,0.45,0.45,0.02,2015,3,2015,3,BTO,38100,35374.772,2725.228,7.703,973.679
Fossil Group Inc,FOSL,11/12/15,1.13,1.19,0.1,2015,3,2015,3,AMC,771.3,784.75,-13.45,-1.713,14.01
Franklin Resources Inc,BEN,10/22/15,0.78,0.59,0.05,2015,4,2015,3,BTO,1873.8,1896.51,-22.71,-1.197,24.35
Freeport-McMoRan Inc,FCX,10/22/15,-0.08,-0.15,0.06,2015,3,2015,3,BTO,3681,4085.36,-404.36,-9.897,262.003
Frontier Communications Corp,FTR,11/3/15,-0.01,0.03,0.03,2015,3,2015,3,BTO,1424,1426.812,-2.812,-0.197,20.284
GameStop Corp A,GME,8/27/15,0.24,0.31,0.02,2016,2,2015,3,AMC,1761.9,1726.832,35.068,2.03,39.484
Gap Inc,GPS,8/20/15,0.64,0.64,0.01,2016,2,2015,3,AMC,3898,3927.8,-29.8,-0.758,57.997
Garmin Ltd,GRMN,10/28/15,0.52,0.51,0.05,2015,3,2015,3,BTO,679.69,679.392,0.298,0.043,1.479
General Dynamics,GD,10/28/15,2.1,2.28,0.05,2015,3,2015,3,BTO,7994,7751.75,242.25,3.125,67.188
General Electric Co,GE,10/16/15,0.26,0.32,0.01,2015,3,2015,3,BTO,31680,28665.757,3014.243,10.515,1034.262
General Growth Properties Inc,GGP,11/2/15,0.35,0.36,0.01,2015,3,2015,3,AMC,585.324,590.57,-5.246,-0.888,15.448
General Mills Inc,GIS,9/22/15,0.69,0.79,0.02,2016,1,2015,3,BTO,4207.9,4226.895,-18.995,-0.449,71.2
General Motors Company,GM,10/21/15,1.17,1.5,0.04,2015,3,2015,3,BTO,38843,39096.5,-253.5,-0.648,680.943
Genuine Parts Co,GPC,10/19/15,1.23,1.24,0.04,2015,3,2015,3,BTO,3921.802,4000.1,-78.298,-1.957,46.075
Goldman Sachs Group Inc,GS,10/15/15,3.08,2.9,0.59,2015,3,2015,3,BTO,6861,7292.5,-431.5,-5.917,712.726
Goodyear Tire & Rubber Co,GT,10/29/15,0.98,0.99,0.09,2015,3,2015,3,BTO,4184,4203.047,-19.047,-0.453,27.508
Grainger W.W. Inc,GWW,10/16/15,3.06,3.03,0.05,2015,3,2015,3,BTO,2532.9,2552.992,-20.092,-0.786,23.294
HCA Holdings Inc,HCA,10/27/15,1.19,1.17,0.03,2015,3,2015,3,BTO,9856,9867.701,-11.701,-0.118,55.278
HCP Inc,HCP,11/3/15,0.78,0.79,0.01,2015,3,2015,3,BTO,657.953,581.99,75.963,13.052,8.046
Halliburton Co,HAL,10/19/15,0.27,0.31,0.02,2015,3,2015,3,BTO,5582,5671.348,-89.348,-1.575,45.12
Hanesbrands Inc,HBI,10/28/15,0.45,0.5,0.01,2015,3,2015,3,AMC,1591.038,1563.952,27.086,1.731,13.15
Harley-Davidson Inc,HOG,10/20/15,0.78,0.69,0.06,2015,3,2015,3,BTO,1140.321,1205.099,-64.778,-5.375,50.177
Harman Intl Industries Inc,HAR,10/29/15,1.41,1.48,0.07,2016,1,2015,3,BTO,1630.888,1612.818,18.07,1.12,43.59
Harris Corp,HRS,11/3/15,1.28,1.31,0.03,2016,1,2015,3,BTO,1811,1822.55,-11.55,-0.633,20.435
Hartford Finl Services Group,HIG,10/26/15,0.98,0.86,0.04,2015,3,2015,3,AMC,4562,3765,393,10.438,0
Hasbro Inc,HAS,10/19/15,1.51,1.58,0.05,2015,3,2015,3,BTO,1470.997,1462.301,8.696,0.594,20.75
Helmerich & Payne Inc,HP,11/12/15,0.06,0.04,0.03,2015,4,2015,3,BTO,566.11,525.175,40.935,7.794,9.89
Hershey Foods Corp,HSY,10/28/15,1.12,1.17,0.02,2015,3,2015,3,BTO,1960.779,1972.542,-11.763,-0.596,8.609
Hess Corp,HES,10/28/15,-1.13,-1.03,0.25,2015,3,2015,3,BTO,1689,1518.14,170.86,11.254,42.624
Home Depot Inc,HD,11/17/15,1.32,1.35,0.02,2016,3,2015,4,BTO,21819,21751.43,67.57,0.31,246.281
Honeywell Intl Inc,HON,10/16/15,1.55,1.57,0.02,2015,3,2015,3,BTO,9611,9853.167,-242.167,-2.457,42.48
Horton D.R. Inc,DHI,11/10/15,0.62,0.64,0.02,2015,4,2015,3,BTO,3172.5,3054.11,118.39,3.876,12.835
